Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.6687,0.0793,0.2820,-1.0272,0.0736,0.1140,0.9628,-0.9558,0.1867,0.3370,1.5751,0.8681,0.0956,0.1514,1.0833,-0.5958
Random Forest,0.8187,0.0763,0.1386,-0.7885,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000
Gradient Boosting,0.7312,0.0841,-0.1823,-0.3195,0.2125,0.3087,1.5812,1.4256,0.3083,0.3838,0.9236,-0.6755,0.1860,0.2170,0.8869,-0.2212
