Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.6562,0.1055,0.1871,-1.3056,0.0722,0.1106,0.8863,-1.1963,0.1867,0.3370,1.5751,0.8681,0.0956,0.1514,1.0833,-0.5958
Random Forest,0.8187,0.0763,0.1386,-0.7885,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000
Gradient Boosting,0.7500,0.1186,0.5270,-1.2407,0.3769,0.2925,0.6024,-0.2570,0.4400,0.3053,0.0935,-0.8850,0.3547,0.2222,-0.2380,-0.8968
