Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.6500,0.0976,-0.2078,-0.9342,0.0740,0.0965,0.7491,-1.0969,0.3000,0.4069,0.8511,-1.0047,0.1091,0.1362,0.5232,-1.5744
Random Forest,0.8187,0.0763,0.1386,-0.7885,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000
Gradient Boosting,0.7438,0.1025,-1.1995,0.7067,0.1333,0.3055,2.2445,3.5238,0.0667,0.1333,1.5000,0.2500,0.0833,0.1708,1.6730,1.0476
