Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7773,0.0919,-0.9343,-0.5045,0.7433,0.1039,1.0464,1.4107,0.8636,0.1535,-0.4365,-1.6011,0.7913,0.0943,-0.9603,-0.6420
Random Forest,0.8591,0.0799,0.2629,-1.2525,0.8505,0.1047,0.4144,-1.1222,0.8909,0.1206,-0.4009,-1.6353,0.8630,0.0804,0.0573,-1.2124
Gradient Boosting,0.7909,0.0958,-0.2771,-0.7042,0.7709,0.1142,0.4675,-0.2373,0.8636,0.1480,-0.8345,-0.4279,0.8037,0.0929,-0.6436,0.1552
