Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7864,0.0955,-0.5287,-0.4915,0.7445,0.0894,0.1708,-0.6499,0.8818,0.1524,-0.6675,-1.3281,0.8015,0.0974,-0.7168,-0.6510
Random Forest,0.7955,0.1118,-0.6250,-0.8973,0.7727,0.1181,-0.3276,-1.3726,0.8545,0.1091,-0.4583,-0.5602,0.8085,0.1020,-0.7089,-0.6144
Gradient Boosting,0.7318,0.0688,-0.1697,0.2032,0.7122,0.0712,-0.3542,-0.0464,0.8091,0.1491,-0.9275,0.7730,0.7457,0.0775,-0.3583,-0.1873
