Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.6062,0.1252,-0.2570,-0.5716,0.3498,0.1926,0.0076,-0.7785,0.4683,0.2860,0.1962,-0.7908,0.3603,0.1795,-0.1630,-0.2599
Random Forest,0.7125,0.0696,-0.3998,0.0354,0.2000,0.4000,1.5000,0.2500,0.0600,0.1281,1.9198,2.1499,0.0905,0.1886,1.7829,1.5442
Gradient Boosting,0.6000,0.1375,0.1195,-0.9013,0.3045,0.3724,1.0803,-0.3837,0.2033,0.1956,0.5182,-0.7201,0.2144,0.2071,0.4038,-1.2306
