Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7312,0.0488,0.5793,-1.1357,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000,0.0000,0.0000,0.0000,-3.0000
Random Forest,0.6875,0.0839,0.2485,-1.3333,0.0583,0.1181,1.5918,0.6756,0.0450,0.0907,1.5564,0.5123,0.0500,0.1000,1.5000,0.2500
Gradient Boosting,0.5938,0.0699,-0.2147,-1.3600,0.1450,0.1677,0.7957,-0.5352,0.1517,0.1596,0.2688,-1.6548,0.1430,0.1548,0.4934,-1.0784
