Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.6040,0.0377,-0.9147,-0.0285,0.5752,0.0364,-0.3840,0.2135,0.7827,0.0611,-0.6857,-0.9088,0.6616,0.0342,-1.1939,-0.1223
Random Forest,0.7280,0.0500,-0.0739,-0.9704,0.7205,0.0800,0.5344,-0.2574,0.7654,0.0797,0.2790,-0.8389,0.7364,0.0416,-0.7192,0.6508
Gradient Boosting,0.7200,0.0537,-0.4969,0.5185,0.7081,0.0688,-0.6404,0.6144,0.7737,0.0889,-0.5103,-0.0502,0.7327,0.0410,0.0202,-1.1004
