Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.8200,0.0573,-0.9199,1.5122,0.7948,0.0724,-1.1424,0.8790,0.8859,0.1066,-0.7153,-0.5420,0.8300,0.0467,0.1525,-0.4588
Random Forest,0.9400,0.0447,0.2147,-1.3600,0.9464,0.0574,-0.3880,-1.4284,0.9359,0.0601,-0.3537,-1.1301,0.9394,0.0444,0.3192,-1.4345
Gradient Boosting,0.8960,0.0625,-0.5226,0.1946,0.8802,0.0935,-0.0329,-1.1967,0.9288,0.0642,-0.0986,-1.5699,0.8999,0.0555,-0.2056,0.0360
