Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7886,0.0498,-0.6203,-0.5551,0.7348,0.0563,0.3931,-1.1901,0.9085,0.0623,-0.2899,-0.1010,0.8105,0.0429,-0.7948,-0.3755
Random Forest,0.9257,0.0366,-0.4914,-0.9732,0.9297,0.0572,-0.1407,-1.3307,0.9258,0.0357,0.4293,-0.5624,0.9265,0.0332,-0.3795,-0.9279
Gradient Boosting,0.9029,0.0481,0.1404,-1.3481,0.8781,0.0612,-0.3098,-1.5149,0.9428,0.0576,-0.6620,-0.6123,0.9073,0.0434,0.2731,-1.3453
