Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7886,0.0464,-0.3189,-1.0413,0.7179,0.0476,0.1599,-0.8638,0.9549,0.0486,-0.3568,-1.6068,0.8183,0.0366,-0.1612,-1.0124
Random Forest,0.8857,0.0404,-1.0607,-0.4000,0.8590,0.0498,-0.6190,0.1781,0.9265,0.0662,-0.7832,0.0390,0.8894,0.0395,-1.0699,-0.5136
Gradient Boosting,0.8686,0.0514,0.4198,-0.6045,0.8519,0.0521,0.1436,-0.5376,0.8984,0.0956,-1.0862,0.8564,0.8705,0.0536,0.1193,-0.4716
