Model,Accuracy_mean,Accuracy_stdev,Accuracy_skew,Accuracy_kurtosis,Precision_mean,Precision_stdev,Precision_skew,Precision_kurtosis,Recall_mean,Recall_stdev,Recall_skew,Recall_kurtosis,F1_mean,F1_stdev,F1_skew,F1_kurtosis
Logistic Regression,0.7857,0.0515,-0.5632,-0.6935,0.7164,0.0502,-0.0344,-0.6886,0.9490,0.0532,-0.1898,-1.8458,0.8153,0.0420,-0.5265,-0.5478
Random Forest,0.9657,0.0249,-0.5071,-0.3213,0.9889,0.0222,-1.5000,0.2500,0.9435,0.0556,-0.5465,-0.8436,0.9643,0.0262,-0.5661,-0.2052
Gradient Boosting,0.8971,0.0366,0.0800,0.0976,0.8693,0.0642,0.8215,-0.6725,0.9438,0.0615,-0.4400,-1.3821,0.9019,0.0326,0.2376,0.3908
